科目名,キャンパス,担当者名,授業実施形態,教室,曜日時限,開講場所
プロジェクト英語Ａ(Listening),湘南藤沢,ワイマン， ウォルター,対面授業（主として対面授業）,ι15,火2,SFC
プロジェクト英語Ｂ(Writing),湘南藤沢,ヤナギ， ルスワティ,対面授業（主として対面授業）,κ17,金3,SFC
プロジェクト英語ＡEA02(Presentation),湘南藤沢,グレイ， ジョージ,対面授業（主として対面授業）,ο11,水1,SFC
プロジェクト英語Ｂ(Oral Listening),湘南藤沢,オルファーズ， キース,対面授業（主として対面授業）,κ14,木2,SFC
プロジェクト英語ＣEC03(Heavy Metal)(GIGA/GG/GI),湘南藤沢,ヘニグマン， デイビッド,対面授業（主として対面授業）,ο18,金1,SFC
プロジェクト英語Ｂ(Project),湘南藤沢,山田 彬尭,対面授業（主として対面授業）,λ16,月2,SFC
プロジェクト英語Ａ(Reading),湘南藤沢,クベロ， ブライアン,対面授業（主として対面授業）,ο18,木1,SFC
日本語スキル２Ｃ,湘南藤沢,伴野 崇生,対面授業（主として対面授業）,λ14,火3,SFC
プロジェクト英語ＡEA01(Translation),湘南藤沢,狩俣 恵美,対面授業（主として対面授業）,κ16,木2,SFC
アラビア語スキル,湘南藤沢,山本 薫,対面授業（主として対面授業）,ι15,金2,SFC
プロジェクト英語Ｂ(Project),湘南藤沢,寺本 羽衣,対面授業（主として対面授業）,ε13,月3,SFC
プロジェクト英語Ａ(Presentation),湘南藤沢,ランド， ネリダ,対面授業（主として対面授業）,ι17,火5,SFC
プロジェクト英語ＢEB01(Writing),湘南藤沢,クベロ， ブライアン,対面授業（主として対面授業）,ε24,水1,SFC
プロジェクト英語ＡEA01(Listening),湘南藤沢,ベデロ， サイモン,対面授業（主として対面授業）,ο18,水2,SFC
スペイン語スキルB,湘南藤沢,高木 和子,対面授業（主として対面授業）,λ14,木2,SFC
プロジェクト英語Ｃ(Project)(GIGA/GG/GI),湘南藤沢,ボンジー， アラーナ Ｒ．,対面授業（主として対面授業）,ι16,火4,SFC;その他
プロジェクト英語Ｂ(Presentation),湘南藤沢,ランド， ネリダ,対面授業（主として対面授業）,ι17,火4,SFC
プロジェクト英語Ｃ(Translation)(GIGA/GG/GI),湘南藤沢,狩俣 恵美,対面授業（主として対面授業）,κ16,木3,SFC
プロジェクト英語Ｃ(Project)(GIGA/GG/GI),湘南藤沢,ベデロ， サイモン,対面授業（主として対面授業）,ο18,水1,SFC
心身ウェルネス【学期前半】(GIGA/GG/GI),湘南藤沢,"森 さち子, 黒川 隆徳, 島津 明人, 矢作 尚久",対面授業（主として対面授業）,κ23,月3,SFC
心身ウェルネス【学期前半】,湘南藤沢,"森 さち子, 小野田 直子, 貞安 元, 林 公輔, 矢作 尚久, 山内 慶太",対面授業（主として対面授業）,ι11,月3,SFC
プロジェクト英語Ｂ(Discussion/Presentation),湘南藤沢,狩野 みき,対面授業（主として対面授業）,ι14,火3,SFC;その他
プロジェクト英語ＢEB02(Critical Thinking),湘南藤沢,狩野 みき,対面授業（主として対面授業）,ι14,火2,SFC
プロジェクト英語ＢEB02(Writing),湘南藤沢,太田 理津子,対面授業（主として対面授業）,ο15,金1,SFC;その他
プロジェクト英語Ｂ(Writing),湘南藤沢,太田 理津子,対面授業（主として対面授業）,ο15,金2,SFC;その他
プロジェクト英語ＣEC01(Writing)(GIGA/GG/GI),湘南藤沢,太田 理津子,対面授業（主として対面授業）,κ22,水2,SFC;その他
プロジェクト英語Ｃ(Presentation)(GIGA/GG/GI),湘南藤沢,石渕 理恵子,対面授業（主として対面授業）,κ16,月3,SFC
プロジェクト英語Ｃ(Listening)(GIGA/GG/GI),湘南藤沢,ベデロ， サイモン,対面授業（主として対面授業）,ι16,火2,SFC
プロジェクト英語Ｃ(Presentation)(GIGA/GG/GI),湘南藤沢,ランド， ネリダ,対面授業（主として対面授業）,ι17,火3,SFC
プロジェクト英語Ｃ(Subcultures)(GIGA/GG/GI),湘南藤沢,ヘニグマン， デイビッド,対面授業（主として対面授業）,ο18,金2,SFC
プロジェクト英語Ｂ(Listening + Writing),湘南藤沢,サザーランド， サラ,対面授業（主として対面授業）,ι14,木3,SFC
言語とヒューマニティ,湘南藤沢,國枝 孝弘,対面授業（主として対面授業）,ι23,木2,SFC
プロジェクト英語Ｂ(Listening),湘南藤沢,中浜 優子,対面授業（主として対面授業）,λ24,木3,SFC
プロジェクト評価論,湘南藤沢,藤田 元信,対面授業（主として対面授業）,ε11,金3,SFC
エネルギー環境論,湘南藤沢,有野 洋輔,対面授業（主として対面授業）,τ12,金2,SFC
マスコミュニケーション【学期後半】,湘南藤沢,渡辺 将人,対面授業（主として対面授業）,κ18,"火2,3",SFC
プロジェクト英語Ｃ(Project)(GIGA/GG/GI),湘南藤沢,寺本 羽衣,対面授業（主として対面授業）,ε13,月4,SFC
創造システム理論,湘南藤沢,井庭 崇,対面授業（主として対面授業）,κ12,金1,SFC
外交と戦略(GIGA/GG),湘南藤沢,北川 敬三,対面授業（主として対面授業）,κ11,月1,SFC
芸術と科学,湘南藤沢,脇田 玲,対面授業（主として対面授業）,Ω21,月4,SFC
科学史,湘南藤沢,内藤 泰宏,対面授業（主として対面授業）,Ω12,金2,SFC
社会保障政策（医療・介護）,湘南藤沢,佐藤 豪竜,対面授業（主として対面授業）,τ11,火3,SFC
ミクロ経済２,湘南藤沢,飯島 大邦,オンライン授業（主としてリアルタイム形式）,,火1,その他
国際開発論(GIGA/GG),湘南藤沢,中室 牧子,対面授業（主として対面授業）,κ22,火3,その他
国際金融論,湘南藤沢,和田 龍磨,対面授業（主として対面授業）,Ω11,月2,SFC
国際企業論【学期前半】,湘南藤沢,琴坂 将広,対面授業（主として対面授業）,Ω11,"月3,4",SFC;その他
研究会Ａ,湘南藤沢,小林 博人,対面授業（主として対面授業）,ν棟-DNPﾊｳｽ,"月5,6",SFC;その他
サブカルチャーと社会認識,湘南藤沢,川田 健,対面授業（主として対面授業）,Ω11,金4,SFC
社会動態論【学期前半】,湘南藤沢,木原 盾,対面授業（主として対面授業）,λ17,"火1,2",SFC
まちづくり論,湘南藤沢,飯盛 義徳,対面授業（主として対面授業）,Ω11,火3,SFC
近代史,湘南藤沢,小熊 英二,対面授業（主として対面授業）,λ12,木1,その他
近代思想の世界,湘南藤沢,小熊 英二,オンライン授業（主としてリアルタイム形式）,,水2,その他
ゲーム理論,湘南藤沢,小澤 太郎,対面授業（主として対面授業）,Ω11,火1,SFC
国際関係論,湘南藤沢,福島 康仁,対面授業（主として対面授業）,ι23,月3,SFC
国際コミュニケーション,湘南藤沢,金 美林,対面授業（主として対面授業）,ε17,木2,SFC
都市計画とまちづくり【学期後半】,湘南藤沢,石山 さつき,対面授業（主として対面授業）,τ11,"金2,3",SFC
現代政治論(GIGA/GG),湘南藤沢,田中 浩一郎,対面授業（主として対面授業）,κ23,水1,SFC
基礎分子生物学４【学期後半】,湘南藤沢,内藤 泰宏,オンライン授業（主としてオンデマンド形式）,,土他,その他
地域と文化（アジア・大洋州）(GIGA/GG),湘南藤沢,サントーソ， ペトルス,対面授業（主として対面授業）,ε23,火3,SFC
生命と知能の進化,湘南藤沢,冨田 勝,オンライン授業（主としてリアルタイム形式）,,火3,その他
歴史と文明,湘南藤沢,鶴岡 路人,対面授業（主として対面授業）,ο11,木2,SFC;その他
研究会Ｂ(2),湘南藤沢,小熊 英二,対面授業（主として対面授業）,"λ23, λ25",木4,SFC
インターネットの設計と運用【学期後半】,湘南藤沢,中村 修,対面授業（主として対面授業）,τ12,"月4,5",SFC
ミクロ経済１,湘南藤沢,荒川 潔,対面授業（主として対面授業）,Ω11,火2,SFC
基礎分子生物学３【学期前半】,湘南藤沢,内藤 泰宏,オンライン授業（主としてオンデマンド形式）,,土他,その他
開発とローカリズム(GIGA/GG),湘南藤沢,藤田 護,対面授業（主として対面授業）,ο11,月2,SFC
研究会Ａ,湘南藤沢,牛山 潤一,対面授業（主として対面授業）,,"金1,2",その他
行政法演習,湘南藤沢,長谷川 福造,対面授業（主として対面授業）,ε12,金4,SFC;その他
情報通信セキュリティとプライバシー,湘南藤沢,武田 圭史,対面授業（主として対面授業）,ε11,木2,SFC
宗教と現代社会,湘南藤沢,"藁谷 郁美, 鈴木 無二",対面授業（主として対面授業）,ε22,金4,SFC
刑法,湘南藤沢,上田 正基,対面授業（主として対面授業）,θ,月3,SFC
情報法(GIGA/GG),湘南藤沢,新保 史生,対面授業（主として対面授業）,ε21,火3,SFC
ネットワーク産業論【学期前半】(GIGA/GG),湘南藤沢,國領 二郎,対面授業（主として対面授業）,ο12,"金4,5",SFC
ポピュレーションダイナミクス【学期後半】,湘南藤沢,木原 盾,対面授業（主として対面授業）,λ17,"火1,2",SFC
環境政策,湘南藤沢,和田 直樹,対面授業（主として対面授業）,ε21,月2,SFC;その他
政策立案論,湘南藤沢,石川 光泰,対面授業（主として対面授業）,κ11,金2,SFC;その他
研究会Ａ,湘南藤沢,宮垣 元,対面授業（主として対面授業）,ι11,"火4,5",SFC;その他
リフレクティブデザイン,湘南藤沢,加藤 文俊,対面授業（主として対面授業）,ε21,火2,SFC
韓国社会論,湘南藤沢,柳町 功,対面授業（主として対面授業）,κ12,木1,SFC
デザインと情報技術(GIGA/GI),湘南藤沢,"ラロ， サミュエル, 堀田 憲祐",対面授業（主として対面授業）,κ22,月2,SFC
比較体制論,湘南藤沢,廣瀬 陽子,対面授業（主として対面授業）,ε22,火2,SFC
英語コンテンツ,湘南藤沢,ボンジー， アラーナ Ｒ．,対面授業（主として対面授業）,ι16,火3,SFC
財政政策（国家）,湘南藤沢,金子 憲,対面授業（主として対面授業）,λ16,火3,SFC
財政政策（地方政府）,湘南藤沢,金子 憲,対面授業（主として対面授業）,λ16,火4,SFC
情報技術とマーケティング【学期前半】,湘南藤沢,桑原 武夫,対面授業（主として対面授業）,κ12,"火1,2",SFC;その他
韓国地域論,湘南藤沢,高木 丈也,対面授業（主として対面授業）,Ω22,木5,SFC;その他
地域論（フランス語圏）,湘南藤沢,ドマジ， サシャ,対面授業（主として対面授業）,ι17,木4,SFC
マレー社会論１,湘南藤沢,加藤 久美子,対面授業（主として対面授業）,ο11,金4,SFC
インドネシア文化論,湘南藤沢,野中 葉,対面授業（主として対面授業）,ο22,火4,SFC
現代文化探究（朝鮮語圏）,湘南藤沢,徐 旻廷,対面授業（主として対面授業）,κ21,金2,SFC
ファイナンス論,湘南藤沢,保田 隆明,対面授業（主として対面授業）,Ω22,月3,SFC
国際協力政策,湘南藤沢,戸川 正人,対面授業（主として対面授業）,λ18,水4,SFC
社会的組織の経営（ヘルスケア）【学期後半】,湘南藤沢,"秋山 美紀, 伴 英美子",対面授業（主として対面授業）,ι11,"月4,5",SFC;その他
地球環境政策,湘南藤沢,蟹江 憲史,対面授業（主として対面授業）,Ω11,木1,SFC
文化論（中国語圏）,湘南藤沢,鄭 浩瀾,対面授業（主として対面授業）,λ23,金3,SFC
韓国文化論,湘南藤沢,"柳町 功, 徐 旻廷, 高木 丈也",対面授業（主として対面授業）,ε12,火1,SFC
多文化社会論(GIGA/GG),湘南藤沢,馬場 わかな,対面授業（主として対面授業）,ε11,火3,SFC
スマートデバイスプログラミング,湘南藤沢,"和田 理彦, 杉山 雄一",対面授業（主として対面授業）,Ω12,月5,SFC
スペイン語インテンシブ３,湘南藤沢,"新谷 ロクサナ, 手塚 進, 与那嶺 ディエゴフェルナンド, ロサレス　シエラ， パトリシア",対面授業（主として対面授業）,"火2:ι17, 水1:λ17, 水2:λ17, 金3:ο12","火2/水1,2/金3",SFC
情報基礎２,湘南藤沢,榊原 寛,対面授業（主として対面授業）,ε17,"月4,5",SFC
スペイン語インテンシブ４,湘南藤沢,"新谷 ロクサナ, ガルシア　ベルナル， カルメン, プリエト， ベロニカ Ｍ．, ロサレス　シエラ， パトリシア",対面授業（主として対面授業）,"水1:λ18, 水2:λ18, 木1:λ17, 金2:ο12","水1,2/木1/金2",SFC
情報基礎２,湘南藤沢,杉浦 学,対面授業（主として対面授業）,κ18,"月4,5",SFC
情報基礎２,湘南藤沢,"小崎 信明, 伊藤 大生",対面授業（主として対面授業）,κ18,"水4,5",SFC
情報基礎２,湘南藤沢,山本 浩之,対面授業（主として対面授業）,κ18,"木4,5",SFC
情報基礎２,湘南藤沢,秋山 優,対面授業（主として対面授業）,ο17,"水4,5",SFC
情報基礎２,湘南藤沢,黄 文浩,対面授業（主として対面授業）,ο17,"金1,2",SFC
情報基礎２,湘南藤沢,宮本 賢良,対面授業（主として対面授業）,κ18,"水1,2",SFC
情報基礎２(ハイブリッド),湘南藤沢,上田 侑真,対面授業（主として対面授業）,ε17,水3,SFC
情報基礎２,湘南藤沢,守谷 元一,対面授業（主として対面授業）,ε17,"金1,2",SFC
情報基礎２,湘南藤沢,秋山 優,対面授業（主として対面授業）,ο17,"木4,5",SFC
情報基礎２,湘南藤沢,浜中 智己,対面授業（主として対面授業）,ι18,"月3,4",SFC
情報基礎２,湘南藤沢,池辺 正典,対面授業（主として対面授業）,ι18,"金1,2",SFC
情報基礎１(29)(GIGA/GG/GI),湘南藤沢,興野 悠太郎,対面授業（主として対面授業）,ε21,"水4,5",SFC
情報基礎１(再履修者用),湘南藤沢,大前 学,対面授業（主として対面授業）,κ11,"火1,2",SFC
情報基礎２,湘南藤沢,石原 匠,対面授業（主として対面授業）,ο17,"火4,5",SFC
情報基礎２,湘南藤沢,佐橘 一旗,対面授業（主として対面授業）,ε17,"水1,2",SFC
研究会Ｂ(1),湘南藤沢,宮代 康丈,対面授業（主として対面授業）,ι22,金4,SFC
研究会Ｂ(2),湘南藤沢,宮代 康丈,対面授業（主として対面授業）,ο15,火4,SFC
情報基礎２,湘南藤沢,阿部 涼介,対面授業（主として対面授業）,ι18,"火1,2",SFC
情報基礎２,湘南藤沢,玉川 直世,対面授業（主として対面授業）,ε17,"木4,5",SFC
プロジェクト英語Ａ(Debate),湘南藤沢,ヤナギ， ルスワティ,対面授業（主として対面授業）,κ13,水3,SFC
研究会Ｂ(1),湘南藤沢,小熊 英二,対面授業（主として対面授業）,"λ23, λ25",木3,SFC
都市計画とまちづくり,湘南藤沢,横山 大輔,対面授業（主として対面授業）,κ23,金1,SFC
研究会Ａ,湘南藤沢,横山 大輔,対面授業（主として対面授業）,ο16,"木3,4",SFC;その他
デザイン観察基礎【学期前半】(GIGA/GG/GI),湘南藤沢,鳴川 肇,対面授業（主として対面授業）,βｽﾀｼﾞｵ,"木1,2",SFC
研究会Ａ,湘南藤沢,石川 初,対面授業（主として対面授業）,ο11,"月4,5",SFC
ノーテーションと表現【学期後半】,湘南藤沢,鳴川 肇,対面授業（主として対面授業）,βｽﾀｼﾞｵ,"木1,2",SFC
イスラーム世界入門,湘南藤沢,田中 浩一郎,対面授業（主として対面授業）,ο22,月1,SFC
スチューデントビルドキャンパス（ＳＢＣ）実践,湘南藤沢,小林 博人,対面授業（主として対面授業）,βﾄﾞｰﾑ,"金6,7",SFC
